id;key;value;type
26659065;Nome;Rua Carneiro da Silva;
26659065;Sentido único;Sim;
26659118;Rodovia;Terciário;
26659118;Phelper.istas;3;
26659118;Nome;Rua Brigadeiro Gavião Peixoto;
26659118;Superfície;Pavimentado;
26659141;Rodovia;Residencial;
26659141;Nome;Avenida Mofarrej;
26659141;Sentido único;Não;
26659141;Superfície;Asfalto;
26659167;Rodovia;Residencial;
26659167;Nome;Rua Jaguaré-mirim;
26659167;Sentido único;Sim;
26659187;Rodovia;Residencial;
26659187;Nome;Avenida Doutor Gastão Vidigal;
26659187;Sentido único;Sim;
26659187;Superfície;Asfalto;
26660178;Rodovia;Residencial;
26660178;Nome;Rua Baumann;
26660178;Sentido único;Não;
26660178;Superfície;Asfalto;
26660191;Rodovia;Residencial;
26660191;Nome;Rua Xavier Kraus;
26660191;Sentido único;Sim;
26660219;Rodovia;Residencial;
26660219;Nome;Rua Hayden;
26660221;Rodovia;Residencial;
26660221;Nome;Rua Doutor Seidel;
26660221;Superfície;Asfalto;
26660231;Rodovia;Residencial;
26660231;lit;Sim;
26660231;Nome;Rua Froben;
26660231;Superfície;Pavimentado;
26660234;Rodovia;Residencial;
26660234;Velocidade Máxima;30;
26660234;Nome;Rua Nagel;
26660234;Sentido único;Não;
